computer,science
grad,school
graduate,school
make,sure
good,luck!
phd,program
machine,learning
master’s,degree
phd,student
don’t,know
phd,programs
hong,kong
grad,"school,"
graduate,school?
united,states
graduate,students
post,graduation
georgia,tech
top,tier
phd,students
grad,school.
job,market
ms,cs
(at,least
pardon,"typographical,"
pursue,phd
pros,cons
stony,brook
computer,"science,"
per,month
"typographical,","spelling,"
graduate,program
5,years
"spelling,",punctuation
graduate,student
3,years
good,luck
good,luck.
first,year
full,time
financial,aid
sounds,like
4,years
fully,funded
mechanical,engineering
assistant,professor
two,years
writing,service
using,speech-to-text
grad,school?
