"idx" "cluster" "customer"
1 1 1
2 139 47
3 106 49
4 106 101
5 38 29
6 106 22
7 139 44
8 19 19
9 38 110
10 139 118
11 139 7
12 106 24
13 38 9
14 139 46
15 106 49
16 156 117
17 106 106
18 139 28
19 19 8
20 106 24
21 106 4
22 106 3
23 139 35
24 106 133
25 38 29
26 168 173
27 106 143
28 139 2
29 38 38
30 139 23
31 106 6
32 106 20
33 139 14
34 1 1
35 139 7
36 139 165
37 106 6
38 38 29
39 19 8
40 1 1
41 19 39
42 139 139
43 139 36
44 139 170
45 139 14
46 139 28
47 139 42
48 1 34
49 106 102
50 139 30
51 168 89
52 59 72
53 59 82
54 168 151
55 168 99
56 59 59
57 168 83
58 93 93
59 59 59
60 59 59
61 59 88
62 168 96
63 168 62
64 168 91
65 168 83
66 168 57
67 168 95
68 168 76
69 139 176
70 168 80
71 168 84
72 59 78
73 168 70
74 168 83
75 59 60
76 168 100
77 168 92
78 59 53
79 168 173
80 168 168
81 59 97
82 59 88
83 168 186
84 168 73
85 168 65
86 59 75
87 168 80
88 59 56
89 168 70
90 139 165
91 168 155
92 168 96
93 93 58
94 180 180
95 168 62
96 168 80
97 59 56
98 168 54
99 168 76
100 168 87
101 106 37
102 106 32
103 139 35
104 156 127
105 168 116
106 106 17
107 106 106
108 106 112
109 139 47
110 38 29
111 139 178
112 106 106
113 168 95
114 168 183
115 139 30
116 168 155
117 156 156
118 139 23
119 119 119
120 139 47
121 156 156
122 156 194
123 139 175
124 139 11
125 125 125
126 139 191
127 156 117
128 156 127
129 168 173
130 130 130
131 139 169
132 139 103
133 106 17
134 168 77
135 135 135
136 139 120
137 168 168
138 139 160
139 139 28
140 139 175
141 141 141
142 156 156
143 106 32
144 168 87
145 168 168
146 156 127
147 156 127
148 106 37
149 149 149
150 150 150
151 168 161
152 139 167
153 139 181
154 168 63
155 168 100
156 156 121
157 168 113
158 168 84
159 159 159
160 139 152
161 168 155
162 106 17
163 139 160
164 119 119
165 139 10
166 119 119
167 139 179
168 168 154
169 139 195
170 139 152
171 168 99
172 139 2
173 168 145
174 19 8
175 139 103
176 139 165
177 139 153
178 139 120
179 139 187
180 180 180
181 139 18
182 139 90
183 168 67
184 184 184
185 139 188
186 168 95
187 139 181
188 139 167
189 106 162
190 119 166
191 139 139
192 168 145
193 139 188
194 156 156
195 139 109
196 139 188
197 106 32
198 198 198
199 139 111
200 200 200
